gene_id,value
8639.1,472.51242709437776
26.1,592.231116143484
314.2,837.1338297234347
314.1,153.6659790035777
1591.1,20.331368095408013
1594.1,569.6668355809447
10993.1,766.7990486965621
6818.1,396.05464311337994
89874.1,125.39140587415355
92483.1,753.0769393259728
3948.2,674.6313240310894
55293.1,955.6137017894686
3945.1,115.70059334093541
3939.1,866.1476371233053
160287.1,920.2732154107961
3948.1,568.8008381817575
9123.1,903.9924338936835
9194.1,168.76230545501272
6566.1,375.9797693860821
57835.3,513.5521312602735
8671.1,272.1777005457901
57835.2,681.6401152243791
57835.1,495.17701658787576
57835.4,879.1169059141712
4967.2,867.3558566852013
1738.1,403.4845402928727
8050.1,445.24516137491486
1743.1,553.4387184312245
4967.1,270.58319468117384
130.1,525.2509366909958
127.1,475.3205494991136
125.1,970.1395606513405
124.1,829.8075985658228
131.1,628.3922936392371
126.1,750.330914073661
128.1,170.8392349531007
137872.1,977.9226611743214
1312.1,118.70697734250399
1312.2,748.4744822259323
117247.1,150.50938555951882
218.1,68.70751321300088
222.1,467.81899094338695
220.1,224.80846064755315
221.1,225.89109793888392
3242.1,659.608076826727
18.1,12.941289602986602
18.2,651.8222196429098
2531.1,773.954687041182
23498.1,11.83590688160189
55268.1,434.4948849740606
51166.1,328.8811130931357
883.1,596.6965063222797
51166.2,280.50465615037245
1644.1,745.8203574007401
26275.1,498.28376069491804
26275.2,869.9174588809715
4128.1,80.8212197756296
4129.1,585.3712912887885
53.1,642.8650635989828
55.1,934.9040846303237
51205.1,840.4344365383192
54.1,604.844697946672
10165.1,933.0847503056509
8604.1,453.43117150308643
51380.1,885.9167810760497
2571.1,206.6911669710488
2572.1,840.7609569621986
2571.2,899.4900606448626
2805.1,895.9439994607241
2806.1,489.84646827664636
8659.1,498.49835650712555
8659.2,895.1865212404764
6799.1,692.9081791341853
6817.3,287.87181112496745
6799.2,49.30293111322585
6818.2,502.5577620346171
6817.2,175.32554309998204
6817.1,286.909252704517
6817.4,225.30332280737434
6818.3,821.5178044009181
6817.5,395.9126370172051
4363.1,40.76402543059851
6822.1,715.9628641063833
6573.1,187.6766185791106
6573.2,131.36369177779486
316.1,451.23027918449003
219.1,495.51591810652917
217.1,435.4329447279706
3620.1,425.84892769662565
6570.1,581.3332993563772
6571.1,274.51049909978167
2348.5,990.5222874181503
2348.3,812.6896886947322
2348.1,127.91897259739737
2348.6,856.7650493071133
2352.1,33.34330178815214
2348.4,716.8142823962955
2348.2,683.2343986449813
4123.1,232.97343431184575
4125.1,641.190993522263
53947.1,9.580169516317897
51146.1,42.358903635610304
28.1,35.97133404960185
206358.1,439.3850932317771
6529.1,975.1911041682373
6538.1,248.04766425523687
6540.1,474.0390657357647
6539.1,938.060404631555
38.1,637.953062254011
3032.1,617.7888517354121
10449.1,439.7216285679541
3030.1,292.2664813982288
39.1,937.2583284980327
30.1,57.51795428252684
32.1,558.7142256572453
9197.1,408.0915438583885
84532.1,689.3147222419324
79611.1,696.5266898640793
64841.1,496.4045336894262
55577.1,837.511292345517
5238.1,770.2683113776952
